gamma,max_depth,learning_rate,n_estimators,min_child_weight,train_acc,train_f1,train_tp,train_fp,train_tn,train_fn,train_precision,train_recall,train_roc_auc,val_acc,val_f1,val_tp,val_fp,val_tn,val_fn,val_precision,val_recall,val_roc_auc
0,3,0.04,400,20,0.6679529230175574,0.28291666666666665,679,93,6245,3349,0.8795336787564767,0.1685700099304866,0.5769483056910243,0.5885588558855885,0.09951845906902086,62,50,1543,1072,0.5535714285714286,0.054673721340388004,0.5116432009087377
0,3,0.04,400,50,0.6603318541385298,0.2557598816317903,605,98,6240,3423,0.8605974395448079,0.15019860973187688,0.5673681593941808,0.583058305830583,0.08674698795180723,54,57,1536,1080,0.4864864864864865,0.047619047619047616,0.5059187516814636
0,3,0.04,400,100,0.6463438163225931,0.2033898305084746,468,106,6232,3560,0.8153310104529616,0.11618669314796425,0.5497310871861627,0.5856252291895856,0.09309791332263243,58,54,1539,1076,0.5178571428571429,0.05114638447971781,0.508624039697486
0,3,0.04,500,20,0.6902373142967393,0.3662916913360963,928,111,6227,3100,0.8931665062560153,0.23038728897715988,0.6064369389032217,0.5852585258525853,0.11433046202036022,73,70,1523,1061,0.5104895104895105,0.06437389770723104,0.5102158251875766
0,3,0.04,500,50,0.6739340150491993,0.3146796431467964,776,128,6210,3252,0.8584070796460177,0.1926514399205561,0.5862278973032885,0.581958195819582,0.11214953271028037,72,78,1515,1062,0.48,0.06349206349206349,0.5072639225181598
0,3,0.04,500,100,0.6571483696700753,0.2530474989491383,602,128,6210,3426,0.8246575342465754,0.14945382323733863,0.5646290889616796,0.5848918225155849,0.11006289308176101,70,68,1525,1064,0.5072463768115942,0.06172839506172839,0.5095208202552836
0,3,0.04,600,20,0.7051900443758441,0.4190114068441065,1102,130,6208,2926,0.8944805194805194,0.27358490566037735,0.6265368516941836,0.5856252291895856,0.1400304414003044,92,88,1505,1042,0.5111111111111111,0.08112874779541446,0.512943532717544
0,3,0.04,600,50,0.6894655604862049,0.3770079349719373,974,165,6173,3054,0.8551360842844601,0.24180734856007943,0.6078869497612641,0.5775577557755776,0.12727272727272726,84,102,1491,1050,0.45161290322580644,0.07407407407407407,0.505021971123666
0,3,0.04,600,100,0.6750916457650009,0.3274760383386581,820,160,6178,3208,0.8367346938775511,0.2035749751737835,0.5891652092656547,0.5837917125045838,0.13292589763177998,87,88,1505,1047,0.49714285714285716,0.07671957671957672,0.5107389471796252
0,3,0.04,700,20,0.7209145282654833,0.4721766101076446,1294,159,6179,2734,0.8905712319339298,0.3212512413108242,0.6480822315736828,0.5812247891455812,0.15532544378698224,105,113,1480,1029,0.481651376146789,0.09259259259259259,0.5108286252354048
0,3,0.04,700,50,0.7022959675863399,0.42144731908511435,1124,182,6156,2904,0.8606431852986217,0.27904667328699106,0.6251654950530885,0.5804913824715805,0.1488095238095238,100,110,1483,1034,0.47619047619047616,0.08818342151675485,0.5095656592831733
0,3,0.04,700,100,0.6841597530387806,0.362290611608882,930,176,6162,3098,0.840867992766727,0.23088381330685204,0.6015574005000653,0.5793912724605794,0.1382419233658903,92,105,1488,1042,0.467005076142132,0.08112874779541446,0.5076076883986489
0,3,0.04,800,20,0.7365425429288057,0.5179170344218887,1467,170,6168,2561,0.8961514966401954,0.3642005958291956,0.6686891271982836,0.5804913824715805,0.1746031746031746,121,131,1462,1013,0.4801587301587302,0.10670194003527336,0.512233581442621
