max_depth,criterion,train_acc,train_f1,train_tp,train_fp,train_tn,train_fn,train_precision,train_recall,train_roc_auc,val_acc,val_f1,val_tp,val_fp,val_tn,val_fn,val_precision,val_recall,val_roc_auc
2,gini,0.6133513409222459,0.009881422924901186,20,0,6338,4008,1.0,0.004965243296921549,0.5024826216484608,0.5841584158415841,0.0017605633802816902,1,1,1592,1133,0.5,0.0008818342151675485,0.5001270439123546
2,entropy,0.6130619332432954,0.008405438813349814,17,0,6338,4011,1.0,0.004220456802383317,0.5021102284011917,0.5841584158415841,0.0,0,0,1593,1134,0.0,0.0,0.5
2,log_loss,0.6130619332432954,0.008405438813349814,17,0,6338,4011,1.0,0.004220456802383317,0.5021102284011917,0.5841584158415841,0.0,0,0,1593,1134,0.0,0.0,0.5
3,gini,0.6147019100906811,0.0172244094488189,35,1,6337,3993,0.9722222222222222,0.00868917576961271,0.5042656986452987,0.5837917125045838,0.001759014951627089,1,2,1591,1133,0.3333333333333333,0.0008818342151675485,0.4998131707171255
3,entropy,0.6145089716380474,0.015763546798029555,32,0,6338,3996,1.0,0.007944389275074478,0.5039721946375373,0.5837917125045838,0.0,0,1,1592,1134,0.0,0.0,0.49968612680477087
3,log_loss,0.6145089716380474,0.015763546798029555,32,0,6338,3996,1.0,0.007944389275074478,0.5039721946375373,0.5837917125045838,0.0,0,1,1592,1134,0.0,0.0,0.49968612680477087
4,gini,0.6164383561643836,0.025490196078431372,52,0,6338,3976,1.0,0.012909632571996028,0.506454816285998,0.5834250091675834,0.0017574692442882249,1,3,1590,1133,0.25,0.0008818342151675485,0.49949929752189637
4,entropy,0.6155701331275323,0.02112503070498649,43,0,6338,3985,1.0,0.01067527308838133,0.5053376365441906,0.5837917125045838,0.001759014951627089,1,2,1591,1133,0.3333333333333333,0.0008818342151675485,0.4998131707171255
4,log_loss,0.6155701331275323,0.02112503070498649,43,0,6338,3985,1.0,0.01067527308838133,0.5053376365441906,0.5837917125045838,0.001759014951627089,1,2,1591,1133,0.3333333333333333,0.0008818342151675485,0.4998131707171255
5,gini,0.6196218406328381,0.04133236080719669,85,0,6338,3943,1.0,0.021102284011916585,0.5105511420059583,0.5834250091675834,0.0017574692442882249,1,3,1590,1133,0.25,0.0008818342151675485,0.49949929752189637
